,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,custo_med,target,econ,conf_med,t_med
230,ToU,0.25,Fuzzy,L3,1.18,1.21,1.23,0.015,13.4,13.8,3.01%,93.81%,0.667
231,ToU,0.5,Fuzzy,L1,1.14,1.2,1.25,0.026,13.7,15.8,12.82%,94.70%,2.37
232,ToU,0.25,No_fuzzy,L1,1.2,1.22,1.23,0.011,13.5,15.8,14.54%,84.33%,2.26
233,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0054,12.7,12.7,-0.00%,95.30%,0.566
234,ToU,0.25,Fuzzy,L3,1.18,1.21,1.23,0.016,13.2,13.8,4.13%,94.03%,0.623
235,Fixa,0.0,No_fuzzy,L2,1.16,1.22,1.25,0.023,12.7,12.7,-0.00%,77.11%,0.807
236,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.26,0.024,12.7,12.7,-0.00%,76.77%,0.826
237,Fixa,0.0,No_fuzzy,L3,1.17,1.23,1.26,0.023,12.7,12.7,-0.00%,79.61%,0.795
238,ToU,0.75,No_fuzzy,L1,1.05,1.16,1.23,0.042,13.7,15.8,13.01%,81.69%,2.53
239,ToU,0.75,No_fuzzy,L2,1.0,1.09,1.14,0.04,13.0,13.8,5.54%,72.23%,0.713
240,Fixa,0.0,No_fuzzy,L1,1.22,1.24,1.26,0.011,14.3,14.3,0.00%,85.69%,2.16
241,ToU,0.75,Fuzzy,L1,1.06,1.18,1.26,0.047,13.3,15.8,15.60%,94.55%,2.61
242,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.011,14.3,14.3,0.00%,86.22%,2.25
243,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.27,0.0096,14.3,14.3,0.00%,86.82%,2.27
244,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.48%,0.582
245,ToU,1.0,Fuzzy,L2,0.931,1.03,1.11,0.052,13.4,13.8,2.74%,93.83%,0.691
246,ToU,1.0,Fuzzy,L2,0.93,1.03,1.11,0.046,13.3,13.8,3.12%,94.00%,0.614
