Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2023-02-23,8,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0022,4.86,4.24,4.24,0.98,0.0769,16.2,33.4,7.8,0.17,1
2023-02-23,9,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,797.0,27.4,61.5,2.2,0.61,0
2023-02-23,10,TC,0.0,Fuzzy,Padrão B,1.18,1.23,1.26,24.0,14.5,12.7,12.7,0.79,912.0,30.5,0.4,1.8,0.7,1
2023-02-23,11,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,0.98,78.0,34.0,44.4,9.1,0.5,1
2023-02-23,12,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,802.0,14.2,55.5,6.6,0.18,0
2023-02-23,13,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0064,14.5,12.7,12.7,0.96,529.0,5.0,99.8,8.9,0.16,1
2023-02-23,14,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0706,2.7,2.2,3.9,0.17,0
2023-02-23,15,TC,0.0,Fuzzy,Padrão B,1.22,1.25,1.27,15.0,14.5,12.7,12.7,0.89,614.0,15.8,62.3,1.1,0.44,1
2023-02-23,16,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,0.98,0.0767,13.4,2.1,3.0,0.33,1
2023-02-23,17,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,792.0,30.8,50.0,2.3,0.73,0
2023-02-23,18,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0062,14.5,12.7,12.7,0.95,531.0,9.8,4.5,7.2,0.17,1
2023-02-23,19,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,794.0,0.2,37.7,6.4,0.16,0
2023-02-23,20,TC,0.0,Fuzzy,Padrão B,1.25,1.27,1.28,7.0,14.5,12.7,12.7,0.95,0.58,10.0,85.4,3.9,0.2,1
2023-02-23,21,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0017,4.86,4.24,4.24,0.98,0.0692,17.1,3.9,4.8,0.22,1
2023-02-23,22,TC,0.0,Fuzzy,Padrão A,1.25,1.26,1.27,0.0057,16.4,14.3,14.3,0.91,2.23,30.0,88.2,8.8,0.47,1
2023-02-23,23,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,796.0,30.2,72.4,5.1,0.61,0
2023-02-23,24,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0068,14.5,12.7,12.7,0.96,538.0,1.7,97.4,8.0,0.16,1
2023-02-23,25,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0062,14.5,12.7,12.7,0.96,579.0,6.7,41.0,4.8,0.16,1
2023-02-23,26,TC,0.0,Fuzzy,Padrão A,1.25,1.26,1.27,0.0059,16.4,14.3,14.3,0.92,1.99,29.9,11.1,7.8,0.45,1
2023-02-23,27,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0699,40.9,84.3,9.7,0.68,0
2023-02-23,28,TC,0.0,Fuzzy,Padrão B,1.19,1.24,1.27,0.02,14.5,12.7,12.7,0.85,742.0,29.0,23.8,4.1,0.6,1
2023-02-23,29,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0027,4.86,4.24,4.24,0.98,0.0882,34.6,26.3,2.3,0.84,1
2023-02-23,30,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,2.39,0.2,57.6,3.7,0.17,0
2023-02-23,31,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0781,9.9,16.9,8.4,0.16,1
